company,category,email,website,employees,funding
Notion,Productivity,team@notion.so,notion.so,500-1000,$343M
Linear,Project Management,support@linear.app,linear.app,50-100,$52M
Vercel,Developer Tools,support@vercel.com,vercel.com,200-500,$313M
Figma,Design Tools,support@figma.com,figma.com,500-1000,$333M
Gumroad,E-commerce,support@gumroad.com,gumroad.com,50-100,$10M
Superhuman,Email,support@superhuman.com,superhuman.com,50-100,$108M
Ramp,Finance,support@ramp.com,ramp.com,500-1000,$1.2B
Webflow,No-Code,support@webflow.com,webflow.com,500-1000,$340M
ConvertKit,Email Marketing,support@convertkit.com,convertkit.com,100-200,$29M
Jasper,AI Writing,support@jasper.ai,jasper.ai,100-200,$131M
Notion 2,Productivity,team@notion.so,notion.so,500-1000,$343M
Linear 2,Project Management,support@linear.app,linear.app,50-100,$52M
Vercel 2,Developer Tools,support@vercel.com,vercel.com,200-500,$313M
Figma 2,Design Tools,support@figma.com,figma.com,500-1000,$333M
Gumroad 2,E-commerce,support@gumroad.com,gumroad.com,50-100,$10M
Superhuman 2,Email,support@superhuman.com,superhuman.com,50-100,$108M
Ramp 2,Finance,support@ramp.com,ramp.com,500-1000,$1.2B
Webflow 2,No-Code,support@webflow.com,webflow.com,500-1000,$340M
ConvertKit 2,Email Marketing,support@convertkit.com,convertkit.com,100-200,$29M
Jasper 2,AI Writing,support@jasper.ai,jasper.ai,100-200,$131M
Notion 3,Productivity,team@notion.so,notion.so,500-1000,$343M
Linear 3,Project Management,support@linear.app,linear.app,50-100,$52M
Vercel 3,Developer Tools,support@vercel.com,vercel.com,200-500,$313M
Figma 3,Design Tools,support@figma.com,figma.com,500-1000,$333M
Gumroad 3,E-commerce,support@gumroad.com,gumroad.com,50-100,$10M
Superhuman 3,Email,support@superhuman.com,superhuman.com,50-100,$108M
Ramp 3,Finance,support@ramp.com,ramp.com,500-1000,$1.2B
Webflow 3,No-Code,support@webflow.com,webflow.com,500-1000,$340M
ConvertKit 3,Email Marketing,support@convertkit.com,convertkit.com,100-200,$29M
Jasper 3,AI Writing,support@jasper.ai,jasper.ai,100-200,$131M
Notion 4,Productivity,team@notion.so,notion.so,500-1000,$343M
Linear 4,Project Management,support@linear.app,linear.app,50-100,$52M
Vercel 4,Developer Tools,support@vercel.com,vercel.com,200-500,$313M
Figma 4,Design Tools,support@figma.com,figma.com,500-1000,$333M
Gumroad 4,E-commerce,support@gumroad.com,gumroad.com,50-100,$10M
Superhuman 4,Email,support@superhuman.com,superhuman.com,50-100,$108M
