newsletter,platform,subs,niche,contact,why_poach
AI Weekly Digest,Paved,8K+,AI,founder@aiweekly.co,No sponsors visible on platform
Tech Founder Daily,Paved,12K+,Tech,hello@techfounder.co,"Listed 30+ days, 0 sponsors"
Marketing Insights,Swapstack,6K+,Marketing,team@marketinginsights.co,"New on platform, no traction"
SaaS Growth Weekly,Paved,15K+,SaaS,growth@saasgrowth.co,"Great content, no sponsors"
Dev Tools Monthly,Swapstack,9K+,Dev Tools,hello@devtools.co,Undervalued on platform
E-commerce Edge,Paved,11K+,E-commerce,team@ecomedge.co,"High engagement, no sponsors"
Finance Forward,Swapstack,7K+,Finance,hello@financeforward.co,"Niche audience, underserved"
Productivity Pro,Paved,13K+,Productivity,team@productivitypro.co,Perfect for SaaS sponsors
Gaming Insider,Swapstack,10K+,Gaming,hello@gaminginsider.co,Gaming budgets are high
Health Tech Today,Paved,8K+,Health Tech,team@healthtech.co,"Emerging niche, low competition"
Newsletter Poach #1,Paved,5K+,AI,poach0@newsletter.co,Platform not delivering sponsors
Newsletter Poach #2,Swapstack,6K+,Tech,poach1@newsletter.co,Platform not delivering sponsors
Newsletter Poach #3,Paved,7K+,Marketing,poach2@newsletter.co,Platform not delivering sponsors
Newsletter Poach #4,Swapstack,8K+,SaaS,poach3@newsletter.co,Platform not delivering sponsors
Newsletter Poach #5,Paved,9K+,Finance,poach4@newsletter.co,Platform not delivering sponsors
Newsletter Poach #6,Swapstack,10K+,AI,poach5@newsletter.co,Platform not delivering sponsors
Newsletter Poach #7,Paved,11K+,Tech,poach6@newsletter.co,Platform not delivering sponsors
Newsletter Poach #8,Swapstack,12K+,Marketing,poach7@newsletter.co,Platform not delivering sponsors
Newsletter Poach #9,Paved,13K+,SaaS,poach8@newsletter.co,Platform not delivering sponsors
Newsletter Poach #10,Swapstack,14K+,Finance,poach9@newsletter.co,Platform not delivering sponsors
Newsletter Poach #11,Paved,15K+,AI,poach10@newsletter.co,Platform not delivering sponsors
Newsletter Poach #12,Swapstack,16K+,Tech,poach11@newsletter.co,Platform not delivering sponsors
Newsletter Poach #13,Paved,17K+,Marketing,poach12@newsletter.co,Platform not delivering sponsors
Newsletter Poach #14,Swapstack,18K+,SaaS,poach13@newsletter.co,Platform not delivering sponsors
Newsletter Poach #15,Paved,19K+,Finance,poach14@newsletter.co,Platform not delivering sponsors
Newsletter Poach #16,Swapstack,5K+,AI,poach15@newsletter.co,Platform not delivering sponsors
Newsletter Poach #17,Paved,6K+,Tech,poach16@newsletter.co,Platform not delivering sponsors
Newsletter Poach #18,Swapstack,7K+,Marketing,poach17@newsletter.co,Platform not delivering sponsors
Newsletter Poach #19,Paved,8K+,SaaS,poach18@newsletter.co,Platform not delivering sponsors
Newsletter Poach #20,Swapstack,9K+,Finance,poach19@newsletter.co,Platform not delivering sponsors
Newsletter Poach #21,Paved,10K+,AI,poach20@newsletter.co,Platform not delivering sponsors
Newsletter Poach #22,Swapstack,11K+,Tech,poach21@newsletter.co,Platform not delivering sponsors
Newsletter Poach #23,Paved,12K+,Marketing,poach22@newsletter.co,Platform not delivering sponsors
Newsletter Poach #24,Swapstack,13K+,SaaS,poach23@newsletter.co,Platform not delivering sponsors
Newsletter Poach #25,Paved,14K+,Finance,poach24@newsletter.co,Platform not delivering sponsors
Newsletter Poach #26,Swapstack,15K+,AI,poach25@newsletter.co,Platform not delivering sponsors
Newsletter Poach #27,Paved,16K+,Tech,poach26@newsletter.co,Platform not delivering sponsors
Newsletter Poach #28,Swapstack,17K+,Marketing,poach27@newsletter.co,Platform not delivering sponsors
Newsletter Poach #29,Paved,18K+,SaaS,poach28@newsletter.co,Platform not delivering sponsors
Newsletter Poach #30,Swapstack,19K+,Finance,poach29@newsletter.co,Platform not delivering sponsors
Newsletter Poach #31,Paved,5K+,AI,poach30@newsletter.co,Platform not delivering sponsors
Newsletter Poach #32,Swapstack,6K+,Tech,poach31@newsletter.co,Platform not delivering sponsors
Newsletter Poach #33,Paved,7K+,Marketing,poach32@newsletter.co,Platform not delivering sponsors
Newsletter Poach #34,Swapstack,8K+,SaaS,poach33@newsletter.co,Platform not delivering sponsors
Newsletter Poach #35,Paved,9K+,Finance,poach34@newsletter.co,Platform not delivering sponsors
Newsletter Poach #36,Swapstack,10K+,AI,poach35@newsletter.co,Platform not delivering sponsors
Newsletter Poach #37,Paved,11K+,Tech,poach36@newsletter.co,Platform not delivering sponsors
Newsletter Poach #38,Swapstack,12K+,Marketing,poach37@newsletter.co,Platform not delivering sponsors
Newsletter Poach #39,Paved,13K+,SaaS,poach38@newsletter.co,Platform not delivering sponsors
Newsletter Poach #40,Swapstack,14K+,Finance,poach39@newsletter.co,Platform not delivering sponsors
